step,theta_1,theta_2,dot_theta_1,dot_theta_2
34,-1.061385154724121,0.6890813708305359,-2.3535289764404297,-1.4269263744354248
35,-1.099676251411438,0.6610780358314514,-2.2580108642578125,-1.848494291305542
36,-1.1362175941467285,0.62583327293396,-2.1471362113952637,-2.290769577026367
37,-1.1707603931427002,0.5830218195915222,-2.0216002464294434,-2.75185227394104
38,-1.2030749320983887,0.5323588252067566,-1.883100152015686,-3.2280988693237305
39,-1.2329752445220947,0.47365236282348633,-1.7347779273986816,-3.712876796722412
40,-1.2603485584259033,0.40686702728271484,-1.5818889141082764,-4.194718360900879
41,-1.285197377204895,0.3322283625602722,-1.432586669921875,-4.6549882888793945
42,-1.307694435119629,0.25036805868148804,-1.2985806465148926,-5.06572961807251
43,-1.328242301940918,0.16249027848243713,-1.1950455904006958,-5.389298439025879
44,-1.3475161790847778,0.07049096375703812,-1.138689637184143,-5.582781791687012
45,-1.366446852684021,-0.023086287081241608,-1.1430559158325195,-5.610495567321777
46,-1.386109709739685,-0.11533191800117493,-1.2128417491912842,-5.459716320037842
47,-1.4075443744659424,-0.2034093141555786,-1.3415858745574951,-5.146673202514648
48,-1.4315881729125977,-0.28498032689094543,-1.5143541097640991,-4.708970546722412
49,-1.4587981700897217,-0.35840219259262085,-1.7136642932891846,-4.189895153045654
50,-1.4894587993621826,-0.4226941466331482,-1.9241394996643066,-3.62640380859375
51,-1.5236377716064453,-0.47738462686538696,-2.134373903274536,-3.0447311401367188
52,-1.561252236366272,-0.5223411917686462,-2.3368191719055176,-2.461291790008545
53,-1.6021240949630737,-0.5576336979866028,-2.526907444000244,-1.8854598999023438
54,-1.6460206508636475,-0.5834432244300842,-2.7021431922912598,-1.3222389221191406
55,-1.6926823854446411,-0.6000078320503235,-2.8614084720611572,-0.7742008566856384
56,-1.7418392896652222,-0.6075974702835083,-3.004498243331909,-0.2426975965499878
57,-1.793224573135376,-0.6064972281455994,-3.131788492202759,0.27139830589294434
58,-1.8465814590454102,-0.5970059633255005,-3.2440056800842285,0.7672374248504639
59,-1.9016668796539307,-0.5794390439987183,-3.3420355319976807,1.2436802387237549
60,-1.9582526683807373,-0.5541361570358276,-3.4267444610595703,1.699031949043274
61,-2.0161235332489014,-0.5214734077453613,-3.49880051612854,2.130762815475464
62,-2.0750715732574463,-0.4818805754184723,-3.5584888458251953,2.5351932048797607
63,-2.1348884105682373,-0.4358638525009155,-3.6055243015289307,2.907151699066162
64,-2.1953539848327637,-0.3840338885784149,-3.638892650604248,3.239682674407959
65,-2.25622296333313,-0.3271365761756897,-3.65676212310791,3.5239529609680176
66,-2.317211389541626,-0.2660811245441437,-3.6565487384796143,3.7495999336242676
67,-2.3779869079589844,-0.20195531845092773,-3.6352314949035645,3.9057953357696533
68,-2.4381675720214844,-0.13601374626159668,-3.5899882316589355,3.9831748008728027
69,-2.497335433959961,-0.06962711364030838,-3.5190818309783936,3.976379156112671
70,-2.555063486099243,-0.004191406071186066,-3.422687530517578,3.8863563537597656
71,-2.610952138900757,0.058984652161598206,-3.303194046020508,3.7211854457855225
72,-2.664658784866333,0.11878408491611481,-3.164759635925293,3.4947469234466553
73,-2.7159175872802734,0.17435047030448914,-3.0123941898345947,3.223818778991699
74,-2.76454496383667,0.22510933876037598,-2.851046562194824,2.925063133239746
75,-2.810432195663452,0.2707417905330658,-2.6849303245544434,2.6127536296844482
76,-2.8535315990448,0.31113430857658386,-2.517241954803467,2.2978339195251465
77,-2.893838882446289,0.34632232785224915,-2.3501720428466797,1.9879463911056519
78,-2.9313783645629883,0.37644028663635254,-2.1850812435150146,1.6879746913909912
